record_id,created_at,region,team,customer,product,category,quantity,unit_price,total,status,note
REC-000001,2025-01-01,서울,운영,고객 0001,무선 키보드,입력 장치,8,89000,712000,처리 중,정기 주문
REC-000002,2025-01-02,부산,기획,고객 0002,27인치 모니터,디스플레이,15,329000,4935000,배송 준비,정기 주문
REC-000003,2025-01-03,대전,운영,고객 0003,USB-C 허브,주변 기기,2,49000,98000,배송 완료,정기 주문
REC-000004,2025-01-04,인천,기획,고객 0004,노트북 거치대,사무 용품,9,67000,603000,반품 검토,정기 주문
REC-000005,2025-01-05,광주,운영,고객 0005,웹캠,영상 장치,16,118000,1888000,결제 확인,정기 주문
REC-000006,2025-01-06,대구,기획,고객 0006,기계식 키보드,입력 장치,3,149000,447000,처리 중,정기 주문
REC-000007,2025-01-07,울산,운영,고객 0007,모니터 암,사무 용품,10,99000,990000,배송 준비,정기 주문
REC-000008,2025-01-08,세종,기획,고객 0008,무선 마우스,입력 장치,17,59000,1003000,배송 완료,정기 주문
REC-000009,2025-01-09,경기,운영,고객 0009,휴대용 SSD,저장 장치,4,179000,716000,반품 검토,정기 주문
REC-000010,2025-01-10,강원,기획,고객 0010,헤드셋,음향 장치,11,129000,1419000,결제 확인,정기 주문
REC-000011,2025-01-11,충북,운영,고객 0011,무선 키보드,입력 장치,18,89000,1602000,처리 중,정기 주문
REC-000012,2025-01-12,제주,기획,고객 0012,27인치 모니터,디스플레이,5,329000,1645000,배송 준비,정기 주문
REC-000013,2025-01-13,서울,운영,고객 0013,USB-C 허브,주변 기기,12,49000,588000,배송 완료,정기 주문
REC-000014,2025-01-14,부산,기획,고객 0014,노트북 거치대,사무 용품,19,67000,1273000,반품 검토,정기 주문
REC-000015,2025-01-15,대전,운영,고객 0015,웹캠,영상 장치,6,118000,708000,결제 확인,정기 주문
REC-000016,2025-01-16,인천,기획,고객 0016,기계식 키보드,입력 장치,13,149000,1937000,처리 중,정기 주문
REC-000017,2025-01-17,광주,운영,고객 0017,모니터 암,사무 용품,20,99000,1980000,배송 준비,정기 주문
REC-000018,2025-01-18,대구,기획,고객 0018,무선 마우스,입력 장치,7,59000,413000,배송 완료,정기 주문
REC-000019,2025-01-19,울산,운영,고객 0019,휴대용 SSD,저장 장치,14,179000,2506000,반품 검토,정기 주문
REC-000020,2025-01-20,세종,기획,고객 0020,헤드셋,음향 장치,1,129000,129000,결제 확인,정기 주문
REC-000021,2025-01-21,경기,운영,고객 0021,무선 키보드,입력 장치,8,89000,712000,처리 중,정기 주문
REC-000022,2025-01-22,강원,기획,고객 0022,27인치 모니터,디스플레이,15,329000,4935000,배송 준비,정기 주문
REC-000023,2025-01-23,충북,운영,고객 0023,USB-C 허브,주변 기기,2,49000,98000,배송 완료,정기 주문
REC-000024,2025-01-24,제주,기획,고객 0024,노트북 거치대,사무 용품,9,67000,603000,반품 검토,정기 주문
REC-000025,2025-01-25,서울,운영,고객 0025,웹캠,영상 장치,16,118000,1888000,결제 확인,정기 주문
REC-000026,2025-01-26,부산,기획,고객 0026,기계식 키보드,입력 장치,3,149000,447000,처리 중,정기 주문
REC-000027,2025-01-27,대전,운영,고객 0027,모니터 암,사무 용품,10,99000,990000,배송 준비,정기 주문
REC-000028,2025-01-28,인천,기획,고객 0028,무선 마우스,입력 장치,17,59000,1003000,배송 완료,정기 주문
REC-000029,2025-01-29,광주,운영,고객 0029,휴대용 SSD,저장 장치,4,179000,716000,반품 검토,정기 주문
REC-000030,2025-01-30,대구,기획,고객 0030,헤드셋,음향 장치,11,129000,1419000,결제 확인,정기 주문
REC-000031,2025-01-31,울산,운영,고객 0031,무선 키보드,입력 장치,18,89000,1602000,처리 중,세금계산서 발행
REC-000032,2025-02-01,세종,기획,고객 0032,27인치 모니터,디스플레이,5,329000,1645000,배송 준비,정기 주문
REC-000033,2025-02-02,경기,운영,고객 0033,USB-C 허브,주변 기기,12,49000,588000,배송 완료,정기 주문
REC-000034,2025-02-03,강원,기획,고객 0034,노트북 거치대,사무 용품,19,67000,1273000,반품 검토,정기 주문
REC-000035,2025-02-04,충북,운영,고객 0035,웹캠,영상 장치,6,118000,708000,결제 확인,정기 주문
REC-000036,2025-02-05,제주,기획,고객 0036,기계식 키보드,입력 장치,13,149000,1937000,처리 중,정기 주문
REC-000037,2025-02-06,서울,운영,고객 0037,모니터 암,사무 용품,20,99000,1980000,배송 준비,정기 주문
REC-000038,2025-02-07,부산,기획,고객 0038,무선 마우스,입력 장치,7,59000,413000,배송 완료,정기 주문
REC-000039,2025-02-08,대전,운영,고객 0039,휴대용 SSD,저장 장치,14,179000,2506000,반품 검토,정기 주문
REC-000040,2025-02-09,인천,기획,고객 0040,헤드셋,음향 장치,1,129000,129000,결제 확인,정기 주문
REC-000041,2025-02-10,광주,운영,고객 0041,무선 키보드,입력 장치,8,89000,712000,처리 중,정기 주문
REC-000042,2025-02-11,대구,기획,고객 0042,27인치 모니터,디스플레이,15,329000,4935000,배송 준비,정기 주문
REC-000043,2025-02-12,울산,운영,고객 0043,USB-C 허브,주변 기기,2,49000,98000,배송 완료,정기 주문
REC-000044,2025-02-13,세종,기획,고객 0044,노트북 거치대,사무 용품,9,67000,603000,반품 검토,정기 주문
REC-000045,2025-02-14,경기,운영,고객 0045,웹캠,영상 장치,16,118000,1888000,결제 확인,정기 주문
REC-000046,2025-02-15,강원,기획,고객 0046,기계식 키보드,입력 장치,3,149000,447000,처리 중,정기 주문
REC-000047,2025-02-16,충북,운영,고객 0047,모니터 암,사무 용품,10,99000,990000,배송 준비,정기 주문
REC-000048,2025-02-17,제주,기획,고객 0048,무선 마우스,입력 장치,17,59000,1003000,배송 완료,정기 주문
REC-000049,2025-02-18,서울,운영,고객 0049,휴대용 SSD,저장 장치,4,179000,716000,반품 검토,정기 주문
REC-000050,2025-02-19,부산,기획,고객 0050,헤드셋,음향 장치,11,129000,1419000,결제 확인,정기 주문
REC-000051,2025-02-20,대전,운영,고객 0051,무선 키보드,입력 장치,18,89000,1602000,처리 중,정기 주문
REC-000052,2025-02-21,인천,기획,고객 0052,27인치 모니터,디스플레이,5,329000,1645000,배송 준비,정기 주문
REC-000053,2025-02-22,광주,운영,고객 0053,USB-C 허브,주변 기기,12,49000,588000,배송 완료,정기 주문
REC-000054,2025-02-23,대구,기획,고객 0054,노트북 거치대,사무 용품,19,67000,1273000,반품 검토,정기 주문
REC-000055,2025-02-24,울산,운영,고객 0055,웹캠,영상 장치,6,118000,708000,결제 확인,정기 주문
REC-000056,2025-02-25,세종,기획,고객 0056,기계식 키보드,입력 장치,13,149000,1937000,처리 중,정기 주문
REC-000057,2025-02-26,경기,운영,고객 0057,모니터 암,사무 용품,20,99000,1980000,배송 준비,정기 주문
REC-000058,2025-02-27,강원,기획,고객 0058,무선 마우스,입력 장치,7,59000,413000,배송 완료,정기 주문
REC-000059,2025-02-28,충북,운영,고객 0059,휴대용 SSD,저장 장치,14,179000,2506000,반품 검토,정기 주문
REC-000060,2025-03-01,제주,기획,고객 0060,헤드셋,음향 장치,1,129000,129000,결제 확인,정기 주문
REC-000061,2025-03-02,서울,운영,고객 0061,무선 키보드,입력 장치,8,89000,712000,처리 중,정기 주문
REC-000062,2025-03-03,부산,기획,고객 0062,27인치 모니터,디스플레이,15,329000,4935000,배송 준비,세금계산서 발행
REC-000063,2025-03-04,대전,운영,고객 0063,USB-C 허브,주변 기기,2,49000,98000,배송 완료,정기 주문
REC-000064,2025-03-05,인천,기획,고객 0064,노트북 거치대,사무 용품,9,67000,603000,반품 검토,정기 주문
REC-000065,2025-03-06,광주,운영,고객 0065,웹캠,영상 장치,16,118000,1888000,결제 확인,정기 주문
REC-000066,2025-03-07,대구,기획,고객 0066,기계식 키보드,입력 장치,3,149000,447000,처리 중,정기 주문
REC-000067,2025-03-08,울산,운영,고객 0067,모니터 암,사무 용품,10,99000,990000,배송 준비,정기 주문
REC-000068,2025-03-09,세종,기획,고객 0068,무선 마우스,입력 장치,17,59000,1003000,배송 완료,정기 주문
REC-000069,2025-03-10,경기,운영,고객 0069,휴대용 SSD,저장 장치,4,179000,716000,반품 검토,정기 주문
REC-000070,2025-03-11,강원,기획,고객 0070,헤드셋,음향 장치,11,129000,1419000,결제 확인,정기 주문
REC-000071,2025-03-12,충북,운영,고객 0071,무선 키보드,입력 장치,18,89000,1602000,처리 중,정기 주문
